symbol,trade_date,open,high,low,close,volume,amount,drawdown
600519.SH,2024-01-02,84.98,85.48,84.1,85.07,392353,25741455.7,0.0
600519.SH,2024-01-03,86.77,87.53,84.2,85.84,242393,5273769.56,0.0
600519.SH,2024-01-04,85.17,86.63,85.26,86.52,191460,24127440.36,0.0
600519.SH,2024-01-05,90.24,89.68,86.7,88.8,389998,13582013.16,0.0
600519.SH,2024-01-08,86.11,88.61,84.66,87.59,468363,36233763.75,-0.013522
600519.SH,2024-01-09,86.99,89.55,85.85,86.53,133956,39082260.37,-0.025487
600519.SH,2024-01-10,85.52,88.14,85.03,85.38,193101,8497539.15,-0.038433
600519.SH,2024-01-11,82.59,84.92,82.89,83.5,437328,4435972.67,-0.059686
600519.SH,2024-01-12,78.16,79.43,75.69,78.13,103939,15775601.41,-0.120161
600519.SH,2024-01-15,81.48,81.09,78.52,80.06,366358,17103411.28,-0.098377
600519.SH,2024-01-16,83.32,84.92,79.33,81.77,273761,15160478.54,-0.079072
600519.SH,2024-01-17,78.06,78.86,77.51,78.74,276205,5761066.58,-0.113235
600519.SH,2024-01-18,77.29,80.81,75.6,77.98,115202,21073414.38,-0.121838
600519.SH,2024-01-19,78.1,77.35,75.6,76.61,392728,12022483.98,-0.137259
600519.SH,2024-01-22,76.02,76.45,74.23,75.34,335088,21930408.88,-0.151566
600519.SH,2024-01-23,70.21,73.77,69.44,71.38,133933,4878891.35,-0.196101
600519.SH,2024-01-24,70.59,72.24,67.56,70.33,280441,10684795.28,-0.207948
600519.SH,2024-01-25,71.87,71.95,70.57,71.45,224030,33691448.68,-0.19532
600519.SH,2024-01-26,74.99,77.13,73.4,76.1,466112,33847262.89,-0.143026
600519.SH,2024-01-29,76.18,78.95,76.36,76.92,299840,22179635.3,-0.133723
600519.SH,2024-01-30,76.44,77.52,76.92,77.23,455188,25865005.41,-0.13021
600519.SH,2024-01-31,75.82,77.38,75.48,76.32,453699,34279870.05,-0.140548
600519.SH,2024-02-01,76.09,77.18,72.49,75.25,122732,34188041.62,-0.152586
600519.SH,2024-02-02,77.43,77.13,74.33,77.1,348575,4030803.79,-0.131667
600519.SH,2024-02-05,76.69,79.45,76.78,77.74,343382,11732880.96,-0.12448
600519.SH,2024-02-06,77.23,77.31,74.52,76.58,385921,26217463.51,-0.137516
600519.SH,2024-02-07,75.75,76.67,73.42,74.7,92153,16096842.01,-0.15868
600519.SH,2024-02-08,73.78,75.2,74.4,74.48,226893,33620747.59,-0.161241
600519.SH,2024-02-09,73.94,75.9,72.1,73.56,309606,19980900.38,-0.171593
600519.SH,2024-02-12,72.72,75.75,71.5,73.62,60942,25065480.03,-0.170879
600519.SH,2024-02-13,72.33,76.03,73.14,73.27,461688,15868870.49,-0.174806
600519.SH,2024-02-14,72.62,76.81,72.37,74.06,484994,35817392.24,-0.165948
600519.SH,2024-02-15,72.81,72.64,70.03,71.79,433011,13828083.82,-0.191494
600519.SH,2024-02-16,72.85,75.47,73.63,73.82,363213,22628791.11,-0.168613
600519.SH,2024-02-19,77.75,80.97,78.99,79.02,113037,22383542.11,-0.110035
600519.SH,2024-02-20,82.69,83.88,80.47,81.46,366117,17251213.07,-0.082588
600519.SH,2024-02-21,81.31,84.64,81.37,81.99,440182,37793211.33,-0.076656
600519.SH,2024-02-22,83.92,85.56,83.2,83.88,342483,30689601.31,-0.055378
600519.SH,2024-02-23,82.81,84.76,79.68,81.85,219012,7553682.49,-0.078264
600519.SH,2024-02-26,78.93,78.8,77.01,78.69,294190,14080673.75,-0.113827
600519.SH,2024-02-27,80.58,80.39,77.2,80.29,420170,17028049.5,-0.0958
600519.SH,2024-02-28,78.11,80.94,78.56,79.29,147119,26189088.54,-0.10706
600519.SH,2024-02-29,75.43,76.86,75.26,76.7,293285,25835389.33,-0.13623
600519.SH,2024-03-01,75.77,78.02,73.63,75.09,195330,30622894.18,-0.154382
600519.SH,2024-03-04,72.37,74.32,70.35,73.04,61407,35292112.03,-0.177436
600519.SH,2024-03-05,74.34,75.4,71.62,73.36,127982,8832065.85,-0.173849
600519.SH,2024-03-06,73.75,76.14,73.65,74.5,347088,13109608.11,-0.161
600519.SH,2024-03-07,77.61,78.48,74.87,76.23,325274,18204512.64,-0.141541
600519.SH,2024-03-08,77.22,79.12,77.25,78.01,56477,7974910.4,-0.121489
600519.SH,2024-03-11,78.11,79.69,79.1,79.56,366646,20953801.11,-0.104028
600519.SH,2024-03-12,77.95,80.78,77.56,79.23,127940,19428689.62,-0.107773
600519.SH,2024-03-13,77.75,79.99,76.93,78.07,70386,17064136.55,-0.120787
600519.SH,2024-03-14,75.58,76.72,74.77,75.2,346412,9274223.73,-0.153058
600519.SH,2024-03-15,76.02,79.33,74.34,77.35,313599,36593095.49,-0.128928
600519.SH,2024-03-18,77.31,78.28,75.98,77.08,256213,22779431.5,-0.131927
600519.SH,2024-03-19,77.72,77.55,76.25,76.37,457407,10546718.66,-0.139965
600519.SH,2024-03-20,77.34,79.01,75.61,78.7,92499,28122069.62,-0.11374
600519.SH,2024-03-21,75.69,77.99,76.53,77.01,60472,32074270.48,-0.132755
600519.SH,2024-03-22,78.0,79.06,77.74,78.69,333024,35006751.32,-0.113788
600519.SH,2024-03-25,80.1,81.9,77.07,79.35,129847,30771355.36,-0.106332
000001.SZ,2024-01-02,163.89,171.05,160.18,165.31,483450,9169617.81,0.0
000001.SZ,2024-01-03,169.08,166.25,165.24,165.96,287465,82454266.66,0.0
000001.SZ,2024-01-04,168.5,175.22,171.22,171.43,285394,57124282.58,0.0
000001.SZ,2024-01-05,170.39,172.14,166.54,169.06,312941,77011518.06,-0.013789
000001.SZ,2024-01-08,168.42,173.47,171.2,171.54,450618,43751496.73,0.0
000001.SZ,2024-01-09,171.67,172.74,165.3,170.85,258664,35708743.86,-0.004055
000001.SZ,2024-01-10,170.66,170.62,169.92,170.09,493794,61941917.26,-0.008479
000001.SZ,2024-01-11,175.18,177.1,173.63,174.93,358129,21547672.91,0.0
000001.SZ,2024-01-12,181.65,184.6,178.36,178.72,376573,58268141.45,0.0
000001.SZ,2024-01-15,181.93,189.34,181.55,182.53,70348,11292233.84,0.0
000001.SZ,2024-01-16,187.74,194.79,188.57,188.67,117687,59875959.11,0.0
000001.SZ,2024-01-17,188.06,196.29,187.76,188.96,427247,49301220.17,0.0
000001.SZ,2024-01-18,191.71,194.47,185.11,192.37,439125,79987575.37,0.0
000001.SZ,2024-01-19,194.89,198.69,187.67,191.07,396044,90784934.94,-0.006757
000001.SZ,2024-01-22,195.5,194.72,188.57,192.81,108121,92417079.3,0.0
000001.SZ,2024-01-23,193.19,194.13,189.85,192.37,328157,40624032.68,-0.002254
000001.SZ,2024-01-24,190.05,198.22,189.33,193.03,397543,54835258.53,0.0
000001.SZ,2024-01-25,198.86,200.43,192.65,196.1,444494,45409657.01,0.0
000001.SZ,2024-01-26,189.47,192.5,190.4,192.28,329139,70535887.46,-0.019456
000001.SZ,2024-01-29,200.21,203.64,194.55,202.53,207764,63891452.01,0.0
000001.SZ,2024-01-30,196.79,201.1,196.88,197.64,206714,55595506.11,-0.02415
000001.SZ,2024-01-31,194.02,194.88,188.94,191.84,438063,91561930.06,-0.052796
000001.SZ,2024-02-01,194.8,204.91,193.57,197.59,166209,50702636.19,-0.024425
000001.SZ,2024-02-02,205.57,205.67,196.28,201.69,335030,31880810.93,-0.004141
000001.SZ,2024-02-05,201.56,206.1,197.89,205.04,118356,23061570.21,0.0
000001.SZ,2024-02-06,209.64,209.98,203.01,208.47,453554,54886113.1,0.0
000001.SZ,2024-02-07,210.01,210.05,201.87,208.61,68390,26289569.26,0.0
000001.SZ,2024-02-08,202.33,205.59,196.7,204.14,104286,52536063.89,-0.021431
000001.SZ,2024-02-09,202.33,207.72,200.67,204.73,360677,13858480.23,-0.018598
000001.SZ,2024-02-12,203.88,206.53,194.07,201.47,443110,93562067.32,-0.034231
000001.SZ,2024-02-13,202.96,208.87,204.98,206.58,386716,27482907.51,-0.009722
000001.SZ,2024-02-14,203.64,209.09,201.78,206.03,328214,44505199.78,-0.012372
000001.SZ,2024-02-15,201.68,208.03,194.2,201.99,163596,74938294.17,-0.031767
000001.SZ,2024-02-16,203.74,204.67,196.81,200.57,98227,50409150.08,-0.038578
000001.SZ,2024-02-19,203.1,204.8,196.91,202.84,219777,11973833.62,-0.027691
000001.SZ,2024-02-20,198.76,201.87,194.8,200.18,103892,90228781.04,-0.040422
000001.SZ,2024-02-21,197.0,201.6,194.61,196.27,274298,17490055.77,-0.059187
000001.SZ,2024-02-22,197.95,202.3,195.65,197.66,244246,21230643.56,-0.052515
000001.SZ,2024-02-23,197.34,201.96,196.25,199.07,306850,41852316.16,-0.045765
000001.SZ,2024-02-26,200.57,201.51,190.74,196.74,95802,23370325.86,-0.056904
000001.SZ,2024-02-27,192.64,195.87,188.29,194.62,178292,24915142.24,-0.067067
000001.SZ,2024-02-28,199.06,196.57,192.22,195.95,234678,96419061.48,-0.060722
000001.SZ,2024-02-29,186.11,192.06,188.82,189.05,439478,78962016.9,-0.093786
000001.SZ,2024-03-01,180.82,183.83,180.17,182.59,468219,54874718.65,-0.124766
000001.SZ,2024-03-04,180.0,181.5,177.83,179.49,134169,35117885.8,-0.139611
000001.SZ,2024-03-05,178.18,182.34,173.29,178.71,101676,58041235.3,-0.143342
000001.SZ,2024-03-06,178.75,184.47,174.18,180.28,266513,52220182.68,-0.135827
000001.SZ,2024-03-07,183.75,189.63,180.63,187.11,78518,92708327.88,-0.103089
000001.SZ,2024-03-08,189.95,197.5,185.6,191.31,356676,75011679.87,-0.082961
000001.SZ,2024-03-11,191.46,194.33,186.25,190.73,206990,89317838.09,-0.08571
000001.SZ,2024-03-12,193.36,198.2,184.15,190.83,378890,90121362.79,-0.085231
000001.SZ,2024-03-13,183.87,186.74,184.31,186.24,308512,79864271.55,-0.107243
000001.SZ,2024-03-14,183.66,192.27,180.39,186.34,123645,23091267.79,-0.106764
000001.SZ,2024-03-15,187.51,190.11,181.65,185.18,211473,82358033.67,-0.112316
000001.SZ,2024-03-18,186.06,192.97,182.67,186.86,219624,48248756.6,-0.104267
